Navn,Hold,Pris,Løbsdage,Point,Profit,Cheapo,Managers
"Delettre, Alexandre",TotalEnergies,1.1,0,0,0.0,Ja,
"Delgado, David",Burgos Burpellet BH,1.0,0,0,0.0,Ja,
"Deman, Bream",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Démare, Arnaud",Arkéa - BnB Hotels,8.1,0,0,0.0,,
"Dens, Tuur",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Denz, Nico",Red Bull - BORA - hansgrohe,2.4,1,0,0.0,Ja,
"Desal, Cériel",Wagner Bazin WB,1.0,5,0,0.0,Ja,
"Deweirdt, Siebe",Team Flanders - Baloise,1.0,0,0,0.0,Ja,
"Dewulf, Stan",Decathlon AG2R La Mondiale,2.4,0,0,0.0,Ja,
"Dhondt, Robbe",Team Picnic PostNL,1.0,0,0,0.0,Ja,
"Diaz, Alex",Caja Rural - Seguros RGA,1.0,0,0,0.0,Ja,
"Diaz, José Manuel",Burgos Burpellet BH,1.0,1,0,0.0,Ja,
"Dijke, Mick van",Red Bull - BORA - hansgrohe,2.0,0,0,0.0,Ja,
"Dijke, Tim van",Red Bull - BORA - hansgrohe,4.5,0,0,0.0,,"Kenk, Visti"
"Dillier, Silvan",Alpecin - Deceuninck,1.0,0,0,0.0,Ja,
"Dina, Márton",Euskaltel - Euskadi,1.0,1,0,0.0,Ja,
"Dinham, Matthew",Team Picnic PostNL,2.2,0,0,0.0,Ja,
"Donaldson, Robert",Team Jayco AlUla,2.8,1,0,0.0,,
"Donnenwirth, Tom",Groupama - FDJ,2.9,0,0,0.0,,
"Donovan, Mark",Q36.5 Pro Cycling Team,1.9,1,0,0.0,Ja,
"Doubey, Fabien",TotalEnergies,1.1,0,0,0.0,Ja,
"Double, Paul",Team Jayco AlUla,1.4,0,0,0.0,Ja,
"Doull, Owain",EF Education - EasyPost,1.4,0,0,0.0,Ja,
"Drizners, Jarrad",Lotto,1.1,0,0,0.0,Ja,
"Dujardin, Sandy",TotalEnergies,1.5,0,0,0.0,Ja,
"Dunbar, Eddie",Team Jayco AlUla,7.9,5,14,1.8,,
"Durbridge, Luke",Team Jayco AlUla,1.1,7,0,0.0,Ja,
"Durić, Dorđe",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Dversnes, Fredrik",Uno-X Mobility,1.0,5,45,45.0,Ja,
"Eddy, Patrick",Team Picnic PostNL,1.3,7,0,0.0,Ja,
"Edmondson, Alex",Team Picnic PostNL,1.0,7,0,0.0,Ja,
"Eekhoff, Nils",Team Picnic PostNL,1.8,3,0,0.0,Ja,
"Eenkhoorn, Pascal",Soudal - Quick-Step,1.4,7,1,0.7,Ja,
"Eetvelt, Lennert Van",Lotto,23.1,0,0,0.0,,"Jappo, Kenk, Tommy"
"Eiking, Odd Christian",Unibet Tietema Rockets,1.4,0,0,0.0,Ja,
"Einhorn, Itamar",Israel - Premier Tech,1.8,0,0,0.0,Ja,
"Elosegui, Iñigo",Equipo Kern Pharma,1.0,6,0,0.0,Ja,
"Engelhardt, Felix",Team Jayco AlUla,2.1,0,0,0.0,Ja,
"Epis, Giosuè",Arkéa - BnB Hotels,1.1,6,0,0.0,Ja,
"Eriksson, Jacob",Tudor Pro Cycling Team,1.0,0,0,0.0,Ja,
"Eriksson, Lucas",Tudor Pro Cycling Team,1.0,0,0,0.0,Ja,
"Ermakov, Roman",Bahrain Victorious,1.0,6,0,0.0,Ja,
"Eržen, Zak",Bahrain Victorious,1.0,5,0,0.0,Ja,
"Etxeberria, Haimar",Equipo Kern Pharma,1.0,0,0,0.0,Ja,
"Eulálio, Afonso",Bahrain Victorious,1.5,6,12,8.0,Ja,
"Evenepoel, Remco",Soudal - Quick-Step,40.5,0,0,0.0,,
"Ewan, Caleb",Team Jayco AlUla,8.0,0,0,0.0,,
"Fagúndez, Eric",Burgos Burpellet BH,1.0,0,0,0.0,Ja,
"Faura, Jose Luis",Burgos Burpellet BH,1.0,0,0,0.0,Ja,
"Faure Prost, Alexy",Intermarché - Wanty,1.1,0,0,0.0,Ja,
"Fedorov, Yevgeniy",XDS Astana Team,1.7,5,12,7.1,Ja,
"Fernández, Miguel Angel",Equipo Kern Pharma,1.0,1,0,0.0,Ja,
"Fernández, Samuel",Caja Rural - Seguros RGA,1.0,0,0,0.0,Ja,
"Fernández, Sinuhé",Burgos Burpellet BH,1.0,1,0,0.0,Ja,
"Ferraro, Santiago",VF Group - Bardiani CSF - Faizanè,1.1,0,0,0.0,Ja,
"Ferron, Valentin",Cofidis,1.1,0,0,0.0,Ja,
"Finé, Eddy",Cofidis,1.0,0,0,0.0,Ja,
